Date/Time,Calling #,Called #,Duration,Amount,Tax,Total,Destination,Extension
06/05/2023 11:00:46,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/05/2023 08:30:35,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/03/2023 14:46:19,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/03/2023 14:30:27,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/03/2023 11:48:03,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/03/2023 10:58:10,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/03/2023 09:37:51,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/02/2023 15:48:32,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/02/2023 15:47:11,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/02/2023 14:48:29,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/02/2023 13:57:26,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/02/2023 13:09:23,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/02/2023 12:41:55,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/02/2023 12:41:17,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/02/2023 11:57:58,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/02/2023 10:20:54,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/02/2023 09:36:18,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/02/2023 09:12:50,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/02/2023 08:30:03,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/01/2023 19:26:10,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/01/2023 15:48:12,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/01/2023 14:08:36,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/01/2023 13:03:54,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/01/2023 12:36:12,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/01/2023 11:40:05,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/01/2023 10:14:51,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
06/01/2023 08:18:33,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/31/2023 19:20:38,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/31/2023 16:34:41,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/31/2023 16:30:45,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/31/2023 15:51:10,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/31/2023 13:45:02,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
